team,game_state,xg_for,xg_against,xg_difference,shots_for,shots_against,minutes
Polonia Bytom,winning,0.0662367791,0.016594419200000002,0.0496423599,1,2,9.414299999999995
Polonia Bytom,drawing,0.9231239808999999,0.609014803,0.3141091778999999,17,10,78.52526666666668
Polonia Bytom,losing,0.0793904886,0.11731911079999999,-0.037928622199999984,2,2,6.488483333333333
Pogoń Grodzisk Mazowiecki,winning,0.11731911079999999,0.0793904886,0.037928622199999984,2,2,6.488483333333333
Pogoń Grodzisk Mazowiecki,drawing,0.609014803,0.9231239808999999,-0.3141091778999999,10,17,78.52526666666668
Pogoń Grodzisk Mazowiecki,losing,0.016594419200000002,0.0662367791,-0.0496423599,2,1,9.414299999999995
